date,county,confirmed_hosp,suspected_hosp,total_hosp,population,total_doses,cumulative_fully_vaccinated,pct_fully_vaccinated
2020-04-04,Trinity,0,0,0,16089,NA,NA,NA
2020-04-04,Tulare,8,20,28,473891,NA,NA,NA
2020-04-04,Tuolumne,0,1,1,55374,NA,NA,NA
2020-04-04,Ventura,21,127,148,843310,NA,NA,NA
2020-04-04,Yolo,4,5,9,216291,NA,NA,NA
2020-04-04,Yuba,2,16,18,81994,NA,NA,NA
2020-04-05,Alameda,72,87,159,1680380,NA,NA,NA
2020-04-05,Amador,0,0,0,40532,NA,NA,NA
2020-04-05,Butte,2,16,18,210135,NA,NA,NA
2020-04-05,Calaveras,0,0,0,45346,NA,NA,NA
2020-04-05,Colusa,1,0,1,21858,NA,NA,NA
2020-04-05,Contra Costa,29,35,64,1165986,NA,NA,NA
2020-04-05,Del Norte,0,1,1,27601,NA,NA,NA
2020-04-05,El Dorado,16,6,22,191220,NA,NA,NA
2020-04-05,Fresno,16,81,97,1009503,NA,NA,NA
2020-04-05,Glenn,0,0,0,28896,NA,NA,NA
2020-04-05,Humboldt,2,3,5,136261,NA,NA,NA
2020-04-05,Imperial,9,9,18,179595,NA,NA,NA
2020-04-05,Inyo,9,106,115,19001,NA,NA,NA
2020-04-05,Kern,23,27,50,905828,NA,NA,NA
2020-04-05,Kings,3,1,4,152790,NA,NA,NA
2020-04-05,Lake,0,4,4,68195,NA,NA,NA
2020-04-05,Lassen,0,0,0,32317,NA,NA,NA
2020-04-05,Los Angeles,1094,1082,2176,9992236,NA,NA,NA
2020-04-05,Madera,0,1,1,156343,NA,NA,NA
2020-04-05,Marin,5,15,20,261282,NA,NA,NA
2020-04-05,Mariposa,0,2,2,17118,NA,NA,NA
2020-04-05,Mendocino,0,3,3,91361,NA,NA,NA
2020-04-05,Merced,15,10,25,281814,NA,NA,NA
2020-04-05,Modoc,0,0,0,8663,NA,NA,NA
2020-04-05,Mono,20,2,22,13226,NA,NA,NA
2020-04-05,Monterey,16,15,31,438390,NA,NA,NA
2020-04-05,Napa,1,8,9,137485,NA,NA,NA
2020-04-05,Nevada,2,4,6,102249,NA,NA,NA
2020-04-05,Orange,144,221,365,3185516,NA,NA,NA
2020-04-05,Placer,23,13,36,405889,NA,NA,NA
2020-04-05,Plumas,0,0,0,19749,NA,NA,NA
2020-04-05,Riverside,129,207,336,2422847,NA,NA,NA
2020-04-05,Sacramento,64,78,142,1586465,NA,NA,NA
